,지점,연,월,일,시간,분,누적강수량(mm),기온(°C),폭염
0,관악,2023,06,01,00,01,0.0,18.2,0
1,관악,2023,06,01,00,02,0.0,18.2,0
2,관악,2023,06,01,00,03,0.0,18.4,0
3,관악,2023,06,01,00,04,0.0,18.4,0
4,관악,2023,06,01,00,05,0.0,18.2,0
5,관악,2023,06,01,00,06,0.0,18.2,0
6,관악,2023,06,01,00,07,0.0,18.3,0
7,관악,2023,06,01,00,08,0.0,18.4,0
8,관악,2023,06,01,00,09,0.0,18.5,0
9,관악,2023,06,01,00,10,0.0,18.4,0
10,관악,2023,06,01,00,11,0.0,18.4,0
11,관악,2023,06,01,00,12,0.0,18.4,0
12,관악,2023,06,01,00,13,0.0,18.5,0
13,관악,2023,06,01,00,14,0.0,18.4,0
14,관악,2023,06,01,00,15,0.0,18.3,0
15,관악,2023,06,01,00,16,0.0,18.3,0
16,관악,2023,06,01,00,17,0.0,18.3,0
17,관악,2023,06,01,00,18,0.0,18.2,0
18,관악,2023,06,01,00,19,0.0,18.3,0
19,관악,2023,06,01,00,20,0.0,18.3,0
20,관악,2023,06,01,00,21,0.0,18.4,0
21,관악,2023,06,01,00,22,0.0,18.3,0
22,관악,2023,06,01,00,23,0.0,18.4,0
23,관악,2023,06,01,00,24,0.0,18.2,0
24,관악,2023,06,01,00,25,0.0,18.1,0
25,관악,2023,06,01,00,26,0.0,18.3,0
26,관악,2023,06,01,00,27,0.0,18.6,0
27,관악,2023,06,01,00,28,0.0,19.0,0
28,관악,2023,06,01,00,29,0.0,19.2,0
29,관악,2023,06,01,00,30,0.0,19.1,0
30,관악,2023,06,01,00,31,0.0,18.6,0
31,관악,2023,06,01,00,32,0.0,18.4,0
32,관악,2023,06,01,00,33,0.0,18.6,0
33,관악,2023,06,01,00,34,0.0,18.8,0
34,관악,2023,06,01,00,35,0.0,19.0,0
35,관악,2023,06,01,00,36,0.0,19.0,0
36,관악,2023,06,01,00,37,0.0,19.0,0
37,관악,2023,06,01,00,38,0.0,19.0,0
38,관악,2023,06,01,00,39,0.0,19.0,0
39,관악,2023,06,01,00,40,0.0,18.9,0
40,관악,2023,06,01,00,41,0.0,18.8,0
41,관악,2023,06,01,00,42,0.0,18.8,0
42,관악,2023,06,01,00,43,0.0,19.0,0
43,관악,2023,06,01,00,44,0.0,18.9,0
44,관악,2023,06,01,00,45,0.0,18.8,0
45,관악,2023,06,01,00,46,0.0,18.7,0
46,관악,2023,06,01,00,47,0.0,18.7,0
47,관악,2023,06,01,00,48,0.0,18.7,0
