,지점,연,월,일,시간,분,누적강수량(mm),기온(°C),폭염
0,종로,2023,06,01,00,01,0.0,20.7,0
1,종로,2023,06,01,00,02,0.0,20.7,0
2,종로,2023,06,01,00,03,0.0,20.7,0
3,종로,2023,06,01,00,04,0.0,20.7,0
4,종로,2023,06,01,00,05,0.0,20.7,0
5,종로,2023,06,01,00,06,0.0,20.7,0
6,종로,2023,06,01,00,07,0.0,20.7,0
7,종로,2023,06,01,00,08,0.0,20.7,0
8,종로,2023,06,01,00,09,0.0,20.7,0
9,종로,2023,06,01,00,10,0.0,20.7,0
10,종로,2023,06,01,00,11,0.0,20.7,0
11,종로,2023,06,01,00,12,0.0,20.7,0
12,종로,2023,06,01,00,13,0.0,20.7,0
13,종로,2023,06,01,00,14,0.0,20.7,0
14,종로,2023,06,01,00,15,0.0,20.7,0
15,종로,2023,06,01,00,16,0.0,20.6,0
16,종로,2023,06,01,00,17,0.0,20.6,0
17,종로,2023,06,01,00,18,0.0,20.6,0
18,종로,2023,06,01,00,19,0.0,20.6,0
19,종로,2023,06,01,00,20,0.0,20.6,0
20,종로,2023,06,01,00,21,0.0,20.6,0
21,종로,2023,06,01,00,22,0.0,20.7,0
22,종로,2023,06,01,00,23,0.0,20.7,0
23,종로,2023,06,01,00,24,0.0,20.7,0
24,종로,2023,06,01,00,25,0.0,20.7,0
25,종로,2023,06,01,00,26,0.0,20.6,0
26,종로,2023,06,01,00,27,0.0,20.6,0
27,종로,2023,06,01,00,28,0.0,20.6,0
28,종로,2023,06,01,00,29,0.0,20.6,0
29,종로,2023,06,01,00,30,0.0,20.6,0
30,종로,2023,06,01,00,31,0.0,20.6,0
31,종로,2023,06,01,00,32,0.0,20.6,0
32,종로,2023,06,01,00,33,0.0,20.6,0
33,종로,2023,06,01,00,34,0.0,20.6,0
34,종로,2023,06,01,00,35,0.0,20.6,0
35,종로,2023,06,01,00,36,0.0,20.6,0
36,종로,2023,06,01,00,37,0.0,20.5,0
37,종로,2023,06,01,00,38,0.0,20.5,0
38,종로,2023,06,01,00,39,0.0,20.5,0
39,종로,2023,06,01,00,40,0.0,20.5,0
