,호선,역명,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
0,1호선,동대문,227.27,323.48,420.87,685.19,1014.03,1342.86,1640.79,1886.49,1911.82,1908.86,1840.25,1739.88,1537.02,1244.12,1053.34,868.78,753.77,616.69,395.06,57.23,13-14시간대
1,1호선,동묘앞,105.84,217.88,285.65,517.88,915.13,1551.36,2223.63,2582.36,2850.84,3006.25,2815.26,2307.32,1673.53,1022.16,516.51,337.54,299.88,263.72,159.26,56.77,14-15시간대
2,1호선,서울역,468.67,1452.19,1792.09,2725.65,3955.42,4285.74,4818.3,5758.23,5612.88,4875.93,5728.56,5876.17,6068.68,5202.64,4693.67,3865.85,3754.68,2644.69,1168.69,72.23,17-18시간대
3,1호선,시청,151.5,573.29,579.33,950.56,1230.96,1415.72,1922.96,2121.87,2279.48,2397.67,2587.48,2774.51,2544.51,2115.01,1561.03,1404.69,1095.4,731.58,298.63,38.12,16-17시간대
4,1호선,신설동,247.46,371.11,465.42,733.78,946.97,1165.72,1259.91,1379.74,1425.44,1415.95,1409.92,1447.48,1358.12,1183.39,804.83,677.19,671.89,523.91,366.44,60.56,16-17시간대
5,1호선,제기동,179.37,371.17,545.0,866.06,1302.65,1850.73,2316.62,2740.11,2873.08,2790.14,2631.42,2395.18,1888.16,1288.73,918.43,684.58,531.89,405.28,249.39,32.27,13-14시간대
6,1호선,종각,216.3,429.23,604.91,1031.07,1568.9,1658.37,2346.51,2704.81,2821.47,2844.16,3022.43,3391.34,3389.84,2833.88,2211.07,2052.63,1968.5,1563.53,723.33,24.14,16-17시간대
7,1호선,종로3가,234.81,409.34,457.9,885.17,1535.2,2010.96,2954.24,3653.92,3712.59,3768.44,3648.31,3758.89,3454.37,2767.5,2129.52,1752.96,1613.81,1308.38,634.48,80.73,14-15시간대
8,1호선,종로5가,103.68,297.11,472.85,802.3,1294.86,1945.59,2749.43,3232.34,3415.04,3360.4,3207.19,3080.12,2838.87,2188.25,1572.59,1137.88,991.9,583.25,231.41,29.09,13-14시간대
9,1호선,청량리(서울시립대입구),351.08,749.76,746.62,1200.83,1612.08,2057.96,2430.75,2696.92,2844.27,2926.84,2932.22,2932.43,2476.6,1954.3,1346.58,1110.88,936.94,658.17,385.05,64.54,16-17시간대
10,2호선,강남,682.53,1300.59,1315.48,2656.5,4756.3,4282.2,4886.14,6041.59,6913.96,6558.42,6886.95,7776.21,8090.27,6855.35,5162.96,4993.96,5355.49,5154.09,2794.19,40.11,17-18시간대
11,2호선,강변(동서울터미널),253.44,1114.15,1332.34,2227.85,2975.03,3390.24,3555.96,3707.58,3785.03,3792.07,4013.5,4258.79,4347.91,3884.94,3363.81,2957.12,2397.24,1867.35,931.96,11.66,17-18시간대
12,2호선,건대입구,588.66,877.06,937.73,1575.59,2266.31,2391.97,3102.08,3771.65,4241.5,4343.08,4669.42,5353.56,5829.97,5553.65,4656.86,4363.73,4438.32,4275.04,2553.53,115.17,17-18시간대
13,2호선,교대(법원.검찰청),191.88,732.14,817.87,1269.5,1906.96,1649.04,1911.49,2115.0,2315.9,2212.68,2063.47,2264.06,2428.87,2026.89,1597.03,1580.26,1574.15,1314.31,630.72,16.5,17-18시간대
14,2호선,구로디지털단지,970.81,1320.0,1656.29,2830.45,3325.13,3324.62,3426.01,3812.1,4071.06,3967.45,3998.3,4494.76,4760.96,4235.27,3447.04,3210.57,3352.0,2869.82,1820.61,50.8,17-18시간대
15,2호선,구의(광진구청),296.07,784.69,774.94,1283.43,1616.86,1592.15,1687.19,1877.29,1929.35,1875.63,1971.68,2199.84,2198.35,1960.72,1604.62,1505.83,1540.37,1329.81,820.25,15.81,16-17시간대
16,2호선,낙성대(강감찬),291.23,683.9,890.31,1596.58,2169.04,2229.65,2326.19,2661.36,2706.41,2588.58,2613.32,2797.45,2809.93,2516.96,2032.6,1919.05,1961.04,1796.96,1152.57,30.39,17-18시간대
17,2호선,당산,220.68,489.88,549.26,915.5,1174.46,1268.87,1389.82,1577.49,1624.91,1564.98,1644.92,1828.71,1841.86,1633.71,1334.65,1253.77,1248.3,1102.12,763.65,35.29,17-18시간대
18,2호선,대림(구로구청),811.1,847.82,1062.91,1905.05,2254.19,2355.77,2461.02,2371.91,2339.95,2246.38,2336.3,2627.64,2657.59,2198.19,1786.19,1567.88,1768.96,1445.75,813.06,47.65,17-18시간대
19,2호선,도림천,18.44,40.77,54.45,85.6,82.04,98.22,95.02,112.41,98.81,106.46,98.36,108.0,96.58,81.8,63.09,50.31,51.89,38.37,30.66,1.81,12-13시간대
20,2호선,동대문역사문화공원(DDP),122.35,248.95,390.14,693.08,919.69,1216.31,1595.19,1767.81,1862.73,2003.46,2037.01,2080.71,2021.19,1741.21,1446.27,1227.67,1187.09,905.46,560.32,33.34,16-17시간대
21,2호선,뚝섬,111.27,408.96,421.15,722.53,1010.27,1321.01,1678.71,2012.92,2231.33,2252.12,2494.05,2637.75,2626.7,2196.74,1743.09,1517.76,1356.54,943.74,437.58,15.48,16-17시간대
22,2호선,문래,136.23,390.45,461.1,809.35,1047.79,1253.69,1349.42,1616.17,1725.29,1657.27,1696.58,1882.16,1890.04,1539.7,1189.7,1083.73,1121.96,940.28,551.76,19.04,17-18시간대
23,2호선,방배,118.37,358.28,385.57,745.46,1124.59,1054.16,1124.45,1323.99,1359.72,1305.32,1238.5,1339.87,1378.42,1165.05,880.19,794.54,791.26,694.14,397.22,6.06,17-18시간대
24,2호선,봉천,376.94,648.36,828.66,1445.81,1830.09,1807.68,1867.77,2100.43,2063.78,1995.43,1994.8,2156.83,2165.21,1964.85,1581.12,1439.03,1515.74,1254.23,751.65,75.59,17-18시간대
25,2호선,사당,384.92,1662.18,1388.06,1847.81,2702.43,2893.98,3430.34,3833.29,3919.46,4000.1,4268.88,4872.88,5121.95,4535.91,3852.77,3764.45,3912.35,3465.69,2043.53,108.41,17-18시간대
26,2호선,삼성(무역센터),191.61,808.31,1069.8,1864.47,2682.54,3059.45,3717.51,4176.62,4928.53,4918.02,4976.22,5558.95,5258.48,4453.67,3239.0,3295.23,2711.12,1684.37,493.31,219.42,16-17시간대
27,2호선,상왕십리,145.77,350.01,437.67,806.22,1007.02,1046.68,1058.43,1210.47,1208.82,1203.42,1206.0,1289.08,1333.09,1149.96,906.65,805.02,818.48,680.2,435.54,5.83,17-18시간대
28,2호선,서울대입구(관악구청),649.26,1074.6,1374.96,2453.4,3414.73,3488.65,3717.44,4287.98,4633.83,4336.02,4357.81,4797.57,4966.61,4577.72,3641.03,3329.87,3510.92,3199.44,1946.43,568.81,17-18시간대
