사용월,호선명,역ID,지하철역,승차승객수,하차승객수,승하차 인원 총합,승하차 인원 차이
Jul-22,1호선,150,서울역,1363951 ,1333458 ,2697409,30493
Jul-22,1호선,151,시청,638310 ,654347 ,1292657,-16037
Jul-22,1호선,152,종각,1003818 ,982452 ,1986270,21366
Jul-22,1호선,153,종로3가,747278 ,692638 ,1439916,54640
Jul-22,1호선,154,종로5가,642683 ,639943 ,1282626,2740
Jul-22,1호선,155,동대문,331646 ,316908 ,648554,14738
Jul-22,1호선,156,신설동,384312 ,373392 ,757704,10920
Jul-22,1호선,157,제기동,484871 ,493243 ,978114,-8372
Jul-22,1호선,158,청량리(서울시립대입구),574223 ,577329 ,1151552,-3106
Jul-22,1호선,159,동묘앞,267821 ,276014 ,543835,-8193
Jul-22,2호선,201,시청,635092 ,611056 ,1246148,24036
Jul-22,2호선,202,을지로입구,1134540 ,1157614 ,2292154,-23074
Jul-22,2호선,203,을지로3가,635447 ,639683 ,1275130,-4236
Jul-22,2호선,204,을지로4가,353599 ,352479 ,706078,1120
Jul-22,2호선,205,동대문역사문화공원(DDP),375282 ,429354 ,804636,-54072
Jul-22,2호선,206,신당,400662 ,412208 ,812870,-11546
Jul-22,2호선,207,상왕십리,399968 ,386221 ,786189,13747
Jul-22,2호선,208,왕십리(성동구청),466280 ,397959 ,864239,68321
Jul-22,2호선,209,한양대,207549 ,220096 ,427645,-12547
Jul-22,2호선,210,뚝섬,617850 ,660890 ,1278740,-43040
Jul-22,2호선,211,성수,1032322 ,1133703 ,2166025,-101381
Jul-22,2호선,212,건대입구,1050857 ,1147093 ,2197950,-96236
Jul-22,2호선,213,구의(광진구청),656136 ,642503 ,1298639,13633
Jul-22,2호선,214,강변(동서울터미널),959368 ,923078 ,1882446,36290
Jul-22,2호선,215,잠실나루,390881 ,380269 ,771150,10612
Jul-22,2호선,216,잠실(송파구청),2242269 ,2208033 ,4450302,34236
Jul-22,2호선,217,잠실새내,632003 ,642598 ,1274601,-10595
Jul-22,2호선,218,종합운동장,403351 ,444483 ,847834,-41132
Jul-22,2호선,219,삼성(무역센터),1586049 ,1587354 ,3173403,-1305
Jul-22,2호선,220,선릉,1509284 ,1332642 ,2841926,176642
Jul-22,2호선,221,역삼,1351976 ,1519149 ,2871125,-167173
Jul-22,2호선,222,강남,2388021 ,2326826 ,4714847,61195
Jul-22,2호선,223,교대(법원.검찰청),903872 ,1022348 ,1926220,-118476
Jul-22,2호선,224,서초,608684 ,576442 ,1185126,32242
Jul-22,2호선,225,방배,436909 ,456645 ,893554,-19736
Jul-22,2호선,226,사당,1120765 ,1228018 ,2348783,-107253
Jul-22,2호선,227,낙성대(강감찬),793360 ,761440 ,1554800,31920
Jul-22,2호선,228,서울대입구(관악구청),1340619 ,1313760 ,2654379,26859
Jul-22,2호선,229,봉천,679240 ,628529 ,1307769,50711
Jul-22,2호선,230,신림,1693589 ,1625621 ,3319210,67968
Jul-22,2호선,231,신대방,730579 ,705430 ,1436009,25149
Jul-22,2호선,232,구로디지털단지,1609198 ,1603877 ,3213075,5321
Jul-22,2호선,233,대림(구로구청),684747 ,700943 ,1385690,-16196
Jul-22,2호선,234,신도림,1375695 ,1371887 ,2747582,3808
Jul-22,2호선,235,문래,595075 ,615615 ,1210690,-20540
Jul-22,2호선,236,영등포구청,582180 ,602026 ,1184206,-19846
