사용월,호선명,역ID,지하철역,04:00:00~04:59:59,04:00:00~04:59:59,05:00:00~05:59:59,05:00:00~05:59:59,06:00:00~06:59:59,06:00:00~06:59:59,07:00:00~07:59:59,07:00:00~07:59:59,08:00:00~08:59:59,08:00:00~08:59:59,09:00:00~09:59:59,09:00:00~09:59:59,10:00:00~10:59:59,10:00:00~10:59:59,11:00:00~11:59:59,11:00:00~11:59:59,12:00:00~12:59:59,12:00:00~12:59:59,13:00:00~13:59:59,13:00:00~13:59:59,14:00:00~14:59:59,14:00:00~14:59:59,15:00:00~15:59:59,15:00:00~15:59:59,16:00:00~16:59:59,16:00:00~16:59:59,17:00:00~17:59:59,17:00:00~17:59:59,18:00:00~18:59:59,18:00:00~18:59:59,19:00:00~19:59:59,19:00:00~19:59:59,20:00:00~20:59:59,20:00:00~20:59:59,21:00:00~21:59:59,21:00:00~21:59:59,22:00:00~22:59:59,22:00:00~22:59:59,23:00:00~23:59:59,23:00:00~23:59:59,00:00:00~00:59:59,00:00:00~00:59:59,01:00:00~01:59:59,01:00:00~01:59:59,02:00:00~02:59:59,02:00:00~02:59:59
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
22-Jul,1호선,150,서울역,511,13,9109,8251,12723,45371,39553,104056,64302,206824,52500,136248,55011,73582,67533,62972,76765,72532,78052,71213,64077,63636,84230,67595,99665,69281,147521,82630,197050,89167,96556,57677,69940,41748,76212,36900,50850,26906,21230,14178,561,2478,0,200,0,0
22-Jul,1호선,151,시청,62,0,2088,4739,3453,24482,6471,67255,8467,184731,9632,80356,11552,36272,18409,35521,20743,35140,24852,35582,30722,29084,40174,24101,49777,21515,81253,22849,152949,22283,52347,10314,44129,6455,43228,5904,28380,4286,9340,2845,281,619,1,14,0,0
22-Jul,1호선,152,종각,44,0,3600,4437,3845,23408,5848,101492,9942,244230,12101,134354,16921,58972,26837,53811,33429,48058,42144,47346,49413,39913,60719,36316,67572,39174,131289,45040,200589,50681,83794,25346,74002,11538,83743,8248,67047,5790,30106,3730,832,568,1,0,0,0
22-Jul,1호선,153,종로3가,136,10,3722,3242,3683,14100,4852,27161,8784,72982,13446,70690,20281,61920,33378,63668,42413,63395,50291,61576,52814,51508,62322,42428,68268,38812,79752,36887,95970,37751,56249,18778,45216,9315,49632,7539,39178,5612,16060,4102,831,1162,0,0,0,0
22-Jul,1호선,154,종로5가,31,2,1823,3762,2968,16547,5261,41938,9077,95464,13215,61009,21732,53940,31691,54966,40324,50947,45736,46735,51081,42469,55202,37514,59308,34917,78541,32745,92318,30058,45011,16016,31222,7574,30494,5639,21502,4264,5936,2671,210,766,0,0,0,0
22-Jul,1호선,155,동대문,735,23,11155,1937,8866,7600,14047,12982,18798,22352,17640,22660,16983,22038,18380,24255,22734,23173,23130,21151,23976,19946,24024,19483,24770,18640,24465,18685,23029,19093,16434,18508,14033,13072,12927,11008,10781,10253,4582,8598,157,1412,0,39,0,0
22-Jul,1호선,156,신설동,302,11,8859,2559,9048,10658,18836,23915,26700,57495,18586,32268,16351,21491,18644,18868,20349,18475,21976,18880,21035,17044,23230,17981,28533,19121,37994,22451,51972,26943,20527,19137,14431,12750,13809,12465,9217,10860,3588,8106,325,1910,0,4,0,0
22-Jul,1호선,157,제기동,397,6,5002,2226,8452,9542,21996,20215,32339,41010,23453,34776,27028,38356,33208,40582,36141,44431,36170,45332,37690,38205,43047,34614,45561,30357,43632,27655,40956,27276,20095,18169,12817,11614,8814,11077,5749,9976,2255,6701,69,1123,0,0,0,0
22-Jul,1호선,158,청량리(서울시립대입구),928,16,10767,4774,15319,22618,36057,17999,46330,35924,30642,33266,30959,37441,35058,39630,38836,39427,39073,40787,38077,41162,42367,41412,51018,39111,49919,40938,42146,47263,23385,30279,18311,18311,13452,18146,8186,15921,3246,9628,147,3276,0,0,0,0
22-Jul,1호선,159,동묘앞,140,1,2866,1148,3454,4904,6283,9752,10321,20686,8999,18126,11488,20851,17668,25721,22678,26594,26492,29454,26725,24889,28390,22874,28452,17855,26739,14355,19808,11204,10234,7122,6416,4850,5737,4791,3536,5526,1308,3686,84,1429,3,196,0,0
22-Jul,2호선,201,시청,51,1,1075,1618,2006,17806,5007,62437,7370,203547,9813,78656,13201,27022,20573,25361,22109,26123,25888,28810,30885,24792,37450,21671,44281,18023,89262,20953,163846,21289,50620,10266,38545,5756,37636,6253,24201,5446,9895,3840,1378,1350,0,35,0,1
22-Jul,2호선,202,을지로입구,53,0,2296,2748,3655,28079,9384,121120,15770,312715,17555,142411,21849,63812,32437,59406,39345,52069,49605,50494,54793,44812,65434,41824,78114,42119,146560,49979,265284,52426,101899,28851,91848,17969,66694,16753,48917,15649,19974,9728,3074,3876,0,774,0,0
22-Jul,2호선,203,을지로3가,6,0,1196,1762,2364,20111,5130,68616,10592,173265,12099,68832,15018,30065,20561,25946,22414,24679,25025,26617,28684,23723,32811,22707,39299,25376,84580,31752,137688,37316,51088,20793,38517,11912,43296,10203,39239,8389,22582,5627,3256,1925,2,66,0,1
22-Jul,2호선,204,을지로4가,7,0,891,1477,1989,14714,4271,35002,9037,75321,8845,37507,10609,21869,14843,21673,17258,18961,18933,18472,20879,17120,23396,15598,29013,14785,53132,14920,67134,14837,27896,9100,16252,5686,13772,5496,10030,5190,4562,3570,847,1168,1,12,2,1
22-Jul,2호선,205,동대문역사문화공원(DDP),217,11,5087,1312,4357,8292,6253,21496,10873,47820,10877,32812,12211,27274,16892,27585,20475,28242,20541,27847,24006,28445,29379,26075,35330,22899,41457,23439,43994,27154,26678,24399,20680,15828,21939,13545,15787,11730,7061,9065,1188,4061,0,23,0,0
22-Jul,2호선,206,신당,25,2,6297,1212,11197,8773,27282,16930,44515,32301,27089,22948,18231,17904,18415,19127,21671,19869,21388,21069,20775,20387,21537,22177,26116,26372,28945,34678,33151,48250,22055,30507,16932,19440,15745,18163,12320,17353,6065,11386,911,3354,0,6,0,0
22-Jul,2호선,207,상왕십리,56,0,5465,602,13374,5934,39923,12351,62945,33970,34693,19133,21177,13725,18767,12664,20464,14636,19594,16157,17647,16969,19306,18917,21062,23001,25978,32221,27943,51365,17923,33919,12525,21542,10401,21294,7632,21001,2741,13351,352,3461,0,8,0,0
22-Jul,2호선,208,왕십리(성동구청),968,1,7349,1152,10409,6502,26732,12660,45245,26881,29883,17644,19744,14598,19816,16049,22134,17837,23253,19267,23042,19114,25059,21477,29748,24664,34510,34809,37048,55918,22912,33835,22203,20554,25468,18433,25527,18822,13334,13338,1892,4384,2,16,2,4
22-Jul,2호선,209,한양대,9,1,1032,280,2429,5551,5421,9961,8489,34816,5898,39852,5758,16581,8725,10218,11334,15267,12330,14769,11165,10316,14659,8633,19558,7834,32327,8690,27835,10089,12399,6732,8523,5361,8334,5200,7062,5134,3650,3739,612,1070,0,2,0,0
22-Jul,2호선,210,뚝섬,17,2,3515,2026,8171,15252,17867,38632,25215,137412,16621,89395,13917,38710,15224,30145,19023,32217,22532,33687,26338,29110,32566,29368,40479,31179,68563,36337,127646,43862,59997,26173,41977,14474,38893,12129,27139,11061,10617,7570,1530,2115,3,34,0,0
22-Jul,2호선,211,성수,71,8,5824,3982,9727,31004,23551,77757,31042,263570,22898,144947,20599,58475,23284,48990,28118,52803,34609,57468,40071,52651,50426,51679,66108,54164,120211,59808,235637,68538,106559,39882,71125,19804,68278,15745,51284,15200,20112,10927,2784,5482,4,818,0,1
22-Jul,2호선,212,건대입구,351,15,16983,1806,22418,18111,52914,26179,91772,57975,60375,51936,35901,40986,34632,47407,41366,54168,45072,62374,45705,60315,51246,64605,61476,77663,72165,106009,83717,156249,64458,105930,66095,63675,75325,57038,76997,52010,45052,31619,6834,10365,3,658,0,0
22-Jul,2호선,213,구의(광진구청),49,1,13236,1368,26946,15209,67698,15318,111485,37390,66482,24292,35099,19095,29070,19402,30636,22289,29322,25028,26336,26161,27365,33002,32940,38098,36336,54009,42545,91913,22438,66604,17591,42195,16731,41380,15272,39424,7553,23340,1005,6963,0,22,1,0
22-Jul,2호선,214,강변(동서울터미널),28,0,8860,2329,27524,22649,78538,27005,113183,48647,81165,41111,65919,38952,58090,36627,54357,41597,51356,46648,47552,49376,49728,57541,54794,64013,59935,80768,65673,111253,45384,78937,36015,53654,31054,46628,20841,44450,8394,25141,977,5750,0,2,1,0
22-Jul,2호선,215,잠실나루,9,0,3352,1829,12193,10285,36665,21972,44692,37246,28430,24095,22441,18161,22134,15918,22012,19649,20659,20672,21280,18442,23401,17965,27976,19277,34245,25421,29571,37480,14087,27562,10643,17036,8112,17447,5949,17401,2685,9943,345,2461,0,7,0,0
22-Jul,2호선,216,잠실(송파구청),95,23,11950,5012,48564,32490,118032,74392,157449,178102,113541,166965,78980,118119,79558,119584,89793,119808,99366,123543,108644,118719,131550,125586,153698,139263,194883,172441,235921,233256,155333,150386,165465,95917,156557,90805,107289,87090,31669,48259,3931,8235,0,38,1,0
22-Jul,2호선,217,잠실새내,55,2,5424,936,17085,8644,52778,16016,71618,27700,44900,30524,30865,25028,29922,26016,31975,29657,32865,33829,30166,36892,34091,40984,36232,46837,40003,60919,42399,85240,29922,57181,27522,34375,27702,30878,28121,29657,16028,16852,2330,4384,0,47,0,0
