,호선,역명,고유역번호(외부역코드),요일,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원,위도,경도,location
0,1호선,동대문,155,0.0,승차,23425.0,17931.0,28342.0,37008.0,31793.0,28119.0,30578.0,36089.0,37692.0,39572.0,40598.0,41471.0,41730.0,40053.0,27946.0,22843.0,21731.0,17906.0,7574.0,1078.0,573479.0,37.57179,127.011383,"(37.57179, 127.011383)"
1,1호선,동대문,155,0.0,승하차 차이,18932.0,5068.0,5390.0,-5364.0,-7411.0,-7084.0,-7884.0,-1776.0,2648.0,5040.0,6716.0,10004.0,10585.0,5814.0,-7928.0,-929.0,2009.0,608.0,-7990.0,-2658.0,23790.0,37.57179,127.011383,"(37.57179, 127.011383)"
2,1호선,동대문,155,0.0,하차,4493.0,12863.0,22952.0,42372.0,39204.0,35203.0,38462.0,37865.0,35044.0,34532.0,33882.0,31467.0,31145.0,34239.0,35874.0,23772.0,19722.0,17298.0,15564.0,3736.0,549689.0,37.57179,127.011383,"(37.57179, 127.011383)"
3,1호선,동대문,155,1.0,승차,24638.0,18118.0,29683.0,39175.0,33479.0,28662.0,30581.0,36364.0,36947.0,38982.0,40012.0,41018.0,42563.0,41596.0,28452.0,23719.0,23378.0,19100.0,8010.0,1149.0,585626.0,37.57179,127.011383,"(37.57179, 127.011383)"
4,1호선,동대문,155,1.0,승하차 차이,20191.0,5490.0,5813.0,-5692.0,-7623.0,-7077.0,-7202.0,-102.0,3080.0,5268.0,7606.0,9039.0,10409.0,6156.0,-7523.0,270.0,3476.0,585.0,-8231.0,-3174.0,30759.0,37.57179,127.011383,"(37.57179, 127.011383)"
5,1호선,동대문,155,1.0,하차,4447.0,12628.0,23870.0,44867.0,41102.0,35739.0,37783.0,36466.0,33867.0,33714.0,32406.0,31979.0,32154.0,35440.0,35975.0,23449.0,19902.0,18515.0,16241.0,4323.0,554867.0,37.57179,127.011383,"(37.57179, 127.011383)"
6,1호선,동대문,155,2.0,승차,24992.0,17902.0,29583.0,39197.0,32938.0,28256.0,29954.0,36232.0,37354.0,40312.0,40290.0,42964.0,43578.0,42127.0,28880.0,25333.0,23410.0,19002.0,8236.0,1176.0,591716.0,37.57179,127.011383,"(37.57179, 127.011383)"
7,1호선,동대문,155,2.0,승하차 차이,20672.0,4809.0,5687.0,-4420.0,-8459.0,-9033.0,-8463.0,-1822.0,2657.0,6252.0,7197.0,10631.0,10423.0,5223.0,-7102.0,1940.0,3194.0,28.0,-8434.0,-3215.0,27765.0,37.57179,127.011383,"(37.57179, 127.011383)"
8,1호선,동대문,155,2.0,하차,4320.0,13093.0,23896.0,43617.0,41397.0,37289.0,38417.0,38054.0,34697.0,34060.0,33093.0,32333.0,33155.0,36904.0,35982.0,23393.0,20216.0,18974.0,16670.0,4391.0,563951.0,37.57179,127.011383,"(37.57179, 127.011383)"
9,1호선,동대문,155,3.0,승차,25278.0,18026.0,29802.0,39229.0,33718.0,28675.0,31007.0,36557.0,36719.0,38830.0,40268.0,42179.0,43704.0,42653.0,29639.0,24916.0,24689.0,19955.0,8808.0,1379.0,596031.0,37.57179,127.011383,"(37.57179, 127.011383)"
